a,ell_critical,delta,tau_tangent,delta_over_sqrt_a,tau_times_a_1_4,ell_leading_asymptotic,ell_error,ell_two_term_asymptotic,ell_two_term_error,tau_leading_asymptotic,imag_q
1.000000000000000021e-02,1.594182412248592806e+00,4.058175877514071939e-01,7.107197671703483266e+00,4.058175877514071495e+00,2.247493242362864407e+00,1.555711706184163434e+00,3.847070606442937191e-02,1.589039183354504337e+00,5.143228894088469616e-03,6.665495434068173353e+00,8.579705939300289463e-01
5.623413251903490971e-03,1.690813354997620532e+00,3.091866450023794677e-01,8.032626256448706314e+00,4.123070176493463634e+00,2.199670145536657184e+00,1.666830781193307409e+00,2.398257380431312313e-02,1.688473032694502329e+00,2.340322303118202996e-03,7.697194046291765623e+00,8.971519529904170565e-01
3.162277660168379394e-03,1.765309325197054635e+00,2.346906748029453649e-01,9.137975783973214305e+00,4.173455947302183056e+00,2.166955549708703188e+00,1.750158332089043256e+00,1.515099310801137911e-02,1.764212412679871944e+00,1.096912517182691005e-03,8.888581017316687038e+00,9.251597116234243634e-01
1.778279410038922752e-03,1.822297901920261198e+00,1.777020980797388017e-01,1.044276337154283141e+01,4.213980828272011259e+00,2.144447592883321096e+00,1.812645179983611188e+00,9.652721936650010548e-03,1.821771641767987004e+00,5.262601522741938709e-04,1.026437322825000642e+01,9.453013077921316176e-01
1.000000000000000021e-03,1.865687607446116836e+00,1.343123925538831642e-01,1.197203506473667822e+01,4.247330784569105511e+00,2.128962345188524008e+00,1.859503705379185412e+00,6.183902066931423747e-03,1.865430262023241248e+00,2.573454228755878148e-04,1.185311328811188503e+01,9.598709263930624846e-01
5.623413251903490971e-04,1.898619127131321083e+00,1.013808728686789173e-01,1.375632997722587092e+01,4.275195960325952171e+00,2.118373743315748570e+00,1.894642642231184615e+00,3.976484900136467715e-03,1.898491239254330498e+00,1.278878769905844592e-04,1.368776168759483092e+01,9.704649846088175824e-01
3.162277660168379394e-04,1.923556781724325537e+00,7.644321827567446270e-02,1.583197359732148968e+01,4.298718066695788487e+00,2.111227610547208755e+00,1.920993127498597408e+00,2.563654225728129177e-03,1.923492335712767343e+00,6.444601155819462690e-05,1.580638060755708629e+01,9.782029484562695387e-01
1.778279410038922698e-04,1.942409020701751476e+00,5.759097929824852358e-02,1.824162958711963256e+01,4.318714188554190869e+00,2.106510521858395268e+00,1.940753203813730510e+00,1.655816888020966715e-03,1.942376143721496806e+00,3.287698025467022944e-05,1.825292356875173638e+01,9.838764869264304824e-01
1.000000000000000048e-04,1.956642034313978762e+00,4.335796568602123813e-02,2.103506529117213120e+01,4.335796568602123813e+00,2.103506529117213031e+00,1.955571170618416232e+00,1.070863695562529472e-03,1.956625077983671579e+00,1.695633030718290968e-05,2.107814730510811785e+01,9.880499216615674651e-01
5.623413251903490700e-05,1.967376297442623656e+00,3.262370255737634395e-02,2.427011290800921373e+01,4.350440655678280422e+00,2.101705190225658715e+00,1.966683078119330741e+00,6.932193232929151350e-04,1.967367466203710391e+00,8.831238913264982671e-06,2.434066477856950428e+01,9.911283711267099283e-01
3.162277660168379530e-05,1.975464902374367338e+00,2.453509762563266250e-02,2.801382654585949794e+01,4.363025893095742624e+00,2.100740630798386910e+00,1.975015833208904281e+00,4.490691654630563079e-04,1.975460262259770117e+00,4.640114597220801329e-06,2.810816118165728383e+01,9.934044589358186350e-01
1.778279410038922901e-05,1.981555579400516631e+00,1.844442059948336876e-02,3.234384768407630162e+01,4.373861402577904123e+00,2.100350058053793045e+00,1.981264517998361008e+00,2.910614021556234832e-04,1.981553122060532024e+00,2.457339984607287420e-06,3.245879815532538260e+01,9.950906739509537413e-01
1.000000000000000082e-05,1.986139095339625849e+00,1.386090466037415148e-02,3.735000059509479797e+01,4.383202915722495874e+00,2.100344883050593747e+00,1.985950370537918452e+00,1.887248017073961392e-04,1.986137784714690602e+00,1.310624935246806899e-06,3.748283535444117121e+01,9.963420165385979965e-01
5.623413251903491208e-06,1.989586671016273289e+00,1.041332898372671067e-02,4.313614677215671378e+01,4.391264421489065484e+00,2.100590263882859077e+00,1.989464264223118395e+00,1.224067931548944443e-04,1.989585967547011336e+00,7.034692619534155256e-07,4.328450300238976212e+01,9.972719914185875778e-01
3.162277660168379191e-06,1.992178724377788646e+00,7.821275622211354417e-03,4.982233437912960028e+01,4.398226498073305457e+00,2.100990420032859518e+00,1.992099312749859852e+00,7.941162792879374877e-05,1.992178344652897559e+00,3.797248910863970650e-07,4.998416428339646700e+01,9.979639927937066224e-01
1.778279410038922901e-06,1.994126848253173323e+00,5.873151746826676955e-03,5.754728581458984138e+01,4.404242485476122404e+00,2.101477987322754704e+00,1.994075320381373029e+00,5.152787180029427816e-05,1.994126642247514347e+00,2.060056589758829659e-07,5.772081243422449859e+01,9.984794662772598084e-01
9.999999999999999547e-07,1.995590556799855753e+00,4.409443200144247399e-03,6.647127407658184950e+01,4.409443200144247399e+00,2.102006250553043021e+00,1.995557117061841579e+00,3.343973801417376990e-05,1.995590444539012021e+00,1.122608437320593566e-07,6.665495434068172642e+01,9.988637958455179877e-01
5.623413251903490361e-07,1.996690011480977134e+00,3.309988519022866171e-03,7.677944703636877932e+01,4.413940630331532944e+00,2.102543452723528716e+00,1.996668307811933163e+00,2.170366904397091901e-05,1.996689950063434305e+00,6.141754282928957309e-08,7.697194046291765801e+01,9.991505723158083940e-01
3.162277660168379191e-07,1.997515671120069225e+00,2.484328879930775003e-03,8.868566824179218600e+01,4.417830894945955933e+00,2.103068617376189220e+00,1.997501583320890450e+00,1.408779917877467369e-05,1.997515637401481303e+00,3.371858792178272779e-08,8.888581017316687394e+01,9.993647024503544696e-01
1.778279410038922689e-07,1.998135596830149963e+00,1.864403169850037401e-03,1.024369537230791707e+02,4.421196653734619453e+00,2.103568481043756044e+00,1.998126451799836056e+00,9.145030313906232777e-06,1.998135578261620360e+00,1.856852960280264142e-08,1.026437322825000820e+02,9.995246824990937640e-01
9.999999999999999547e-08,1.998600973863522867e+00,1.399026136477132809e-03,1.183185967241480512e+02,4.424109097373315258e+00,2.104035243792512500e+00,1.998595037053791934e+00,5.936809730933134688e-06,1.998600963610436043e+00,1.025308682400805083e-08,1.185311328811188361e+02,9.996442663677164164e-01
5.623413251903490494e-08,1.998950280694210546e+00,1.049719305789453827e-03,1.366600866045869509e+02,4.426629608328914500e+00,2.104464924159908712e+00,1.998946426422311795e+00,3.854271898751093772e-06,1.998950275019334866e+00,5.674875680483637552e-09,1.368776168759483198e+02,9.997336932618718919e-01
3.162277660168379191e-08,1.999212433630617403e+00,7.875663693825973866e-04,1.578419446674676863e+02,4.428811158339618359e+00,2.104856161084056598e+00,1.999209931274986030e+00,2.502355631373021083e-06,1.999212430483200187e+00,3.147417215743075758e-09,1.580638060755708523e+02,9.998005933322601235e-01
1.778279410038922821e-08,1.999409156726832171e+00,5.908432731678292527e-04,1.823036187106751242e+02,4.430699491715895277e+00,2.105209346307836515e+00,1.999407532038137258e+00,1.624688694912279630e-06,1.999409154978045056e+00,1.748787115118943802e-09,1.825292356875173425e+02,9.998506573284207111e-01
1.000000000000000021e-08,1.999556766586749301e+00,4.432334132506987601e-04,2.105526000668359643e+02,4.432334132506987601e+00,2.105526000668359821e+00,1.999555711706184180e+00,1.054880565121152358e-06,1.999556765613549336e+00,9.731999650597344953e-10,2.107814730510811785e+02,9.998881327497054494e-01
5.623413251903490990e-09,1.999667515711604615e+00,3.324842883953849082e-04,2.431749522866156212e+02,4.433749244328173411e+00,2.105808330149952834e+00,1.999666830781193338e+00,6.849304112765963737e-07,1.999667515169277765e+00,5.423268500948097426e-10,2.434066477856950712e+02,9.999161918003164340e-01
3.162277660168379522e-09,1.999750603063726206e+00,2.493969362737935569e-04,2.808474698869801500e+02,4.434974367024764774e+00,2.106058913739176752e+00,1.999750158332089134e+00,4.447316370725928891e-07,1.999750602761140028e+00,3.025861783356731394e-10,2.810816118165728312e+02,9.999372047059160717e-01
1.778279410038922821e-09,1.999812933953043270e+00,1.870660469567297923e-04,3.243517193933730027e+02,4.436035049752575787e+00,2.106280487442180327e+00,1.999812645179983583e+00,2.887730596867754684e-07,1.999812933784045788e+00,1.689974826746265535e-10,3.245879815532538260e+02,9.999529439452560231e-01
1.000000000000000062e-09,1.999859691214034507e+00,1.403087859654927883e-04,3.745902540526866460e+02,4.436953393840244786e+00,2.106475798673773436e+00,1.999859503705379238e+00,1.875086552693971953e-07,1.999859691119556082e+00,9.447842508336634637e-11,3.748283535444116978e+02,9.999647348907833022e-01
5.623413251903490990e-10,1.999894764398392866e+00,1.052356016071342992e-04,4.326053384374219490e+02,4.437748523393182154e+00,2.106647510324120010e+00,1.999894642642231268e+00,1.217561615973750122e-07,1.999894764345555132e+00,5.283773418796045007e-11,4.328450300238976638e+02,9.999735692838079837e-01
3.162277660168379522e-10,1.999921072188985738e+00,7.892781101426216139e-05,4.996005718548583445e+02,4.438436984013360842e+00,2.106798142621139291e+00,1.999920993127498603e+00,7.906148713487937130e-08,1.999921072159401625e+00,2.958411293718654633e-11,4.998416428339646700e+02,9.999801891013180288e-01
1.778279410038922873e-10,1.999940804542255091e+00,5.919545774490941881e-05,5.769658582987025284e+02,4.439033098169164582e+00,2.106930037600670769e+00,1.999940753203813815e+00,5.133844127591657980e-08,1.999940804525679905e+00,1.657518566844373709e-11,5.772081243422450143e+02,9.999851495061159445e-01
1.000000000000000036e-10,1.999955604507380746e+00,4.439549261925357371e-05,6.663062420044121836e+02,4.439549261925357371e+00,2.107045343921298386e+00,1.999955571170618507e+00,3.333676223959969320e-08,1.999955604498095729e+00,9.285017199545109179e-12,6.665495434068171789e+02,9.999888678224772010e-01
